Emotion 1,Emotion 2,Correlation,Absolute Correlation
caring,sadness,-0.1307672749619233,0.1307672749619233
love,neutral,-0.1302516301688215,0.1302516301688215
approval,fear,-0.12972287327117657,0.12972287327117657
fear,gratitude,-0.12640080521550157,0.12640080521550157
disappointment,love,-0.12527866887376,0.12527866887376
pride,realization,0.12419627338668182,0.12419627338668182
optimism,neutral,-0.1239489055299333,0.1239489055299333
disappointment,remorse,0.1231330668039831,0.1231330668039831
embarrassment,nervousness,0.12215572010363782,0.12215572010363782
fear,neutral,-0.1198937808499278,0.1198937808499278
remorse,neutral,-0.11894718549654257,0.11894718549654257
caring,relief,0.11844814591487132,0.11844814591487132
optimism,sadness,-0.11713249321081944,0.11713249321081944
disappointment,joy,-0.11664490709629324,0.11664490709629324
nervousness,neutral,-0.11645744714927227,0.11645744714927227
approval,nervousness,-0.11639924312207335,0.11639924312207335
gratitude,realization,-0.11292509448797786,0.11292509448797786
approval,caring,0.11279706293370807,0.11279706293370807
anger,disapproval,0.11218002236826571,0.11218002236826571
admiration,caring,-0.11090920102314616,0.11090920102314616
disgust,fear,0.1096576562942971,0.1096576562942971
disapproval,gratitude,-0.10626418153278898,0.10626418153278898
anger,disappointment,0.10585993623443232,0.10585993623443232
joy,neutral,-0.10547161666089173,0.10547161666089173
caring,realization,-0.1053360724259037,0.1053360724259037
caring,fear,-0.10324186709352037,0.10324186709352037
excitement,pride,0.1021663445670354,0.1021663445670354
disappointment,optimism,-0.10205345393298243,0.10205345393298243
annoyance,approval,-0.10200783781204671,0.10200783781204671
embarrassment,fear,0.09969307305317036,0.09969307305317036
disappointment,excitement,-0.0992541630979568,0.0992541630979568
excitement,sadness,-0.09891750288805565,0.09891750288805565
relief,sadness,-0.09882436176371016,0.09882436176371016
approval,curiosity,-0.09852349257125737,0.09852349257125737
curiosity,gratitude,-0.09804708011812284,0.09804708011812284
gratitude,optimism,-0.0979112227330285,0.0979112227330285
love,sadness,-0.09741714762521231,0.09741714762521231
approval,embarrassment,-0.09633457301796124,0.09633457301796124
relief,neutral,-0.09557802736000531,0.09557802736000531
joy,sadness,-0.09472137092741766,0.09472137092741766
admiration,embarrassment,-0.0940997615547113,0.0940997615547113
confusion,embarrassment,0.09224291345781957,0.09224291345781957
annoyance,caring,-0.09113583643482032,0.09113583643482032
realization,remorse,0.09027428552772127,0.09027428552772127
caring,confusion,-0.089983374577813,0.089983374577813
realization,surprise,0.08965315321688358,0.08965315321688358
realization,sadness,-0.08857613515305607,0.08857613515305607
approval,confusion,-0.08819707988359454,0.08819707988359454
love,realization,-0.08811338928734479,0.08811338928734479
admiration,disapproval,-0.08799695183505277,0.08799695183505277
pride,neutral,-0.08790157384440872,0.08790157384440872
anger,approval,-0.08686446269977563,0.08686446269977563
nervousness,relief,0.0864615155671042,0.0864615155671042
love,nervousness,-0.08554985092141879,0.08554985092141879
confusion,gratitude,-0.08551075253359021,0.08551075253359021
admiration,anger,-0.08502450825846013,0.08502450825846013
embarrassment,gratitude,-0.08489182124749624,0.08489182124749624
approval,neutral,0.08482127786659727,0.08482127786659727
admiration,relief,-0.0832435191921625,0.0832435191921625
caring,embarrassment,-0.08264212571562203,0.08264212571562203
caring,disgust,-0.08257650620312804,0.08257650620312804
approval,disgust,-0.08235576270593394,0.08235576270593394
approval,remorse,-0.08218130568357501,0.08218130568357501
anger,gratitude,-0.08187386272517198,0.08187386272517198
admiration,disgust,-0.08185875580174647,0.08185875580174647
love,relief,-0.081253638349109,0.081253638349109
annoyance,love,-0.08108388305692951,0.08108388305692951
caring,neutral,-0.08090459597929563,0.08090459597929563
embarrassment,neutral,-0.0804206030412084,0.0804206030412084
fear,optimism,-0.08024989696455183,0.08024989696455183
disgust,gratitude,-0.08004360056377614,0.08004360056377614
admiration,confusion,-0.07956303240428256,0.07956303240428256
admiration,remorse,-0.0793201095155985,0.0793201095155985
annoyance,optimism,-0.07846082039363388,0.07846082039363388
admiration,curiosity,-0.07818841137768594,0.07818841137768594
caring,nervousness,-0.07816626313023556,0.07816626313023556
desire,gratitude,-0.0779233839426826,0.0779233839426826
approval,realization,0.07717011053487133,0.07717011053487133
nervousness,realization,0.07698490310295429,0.07698490310295429
amusement,joy,0.07682928547193736,0.07682928547193736
annoyance,joy,-0.07619267694792103,0.07619267694792103
fear,love,-0.07593763467913935,0.07593763467913935
nervousness,optimism,-0.07544191976709011,0.07544191976709011
disappointment,relief,-0.07352198426543566,0.07352198426543566
disappointment,realization,0.07332768962515405,0.07332768962515405
grief,optimism,-0.07322656152491486,0.07322656152491486
caring,curiosity,-0.07277158064784585,0.07277158064784585
caring,surprise,-0.0723307900301713,0.0723307900301713
approval,disapproval,-0.07174524177249139,0.07174524177249139
disgust,neutral,-0.07173406490970437,0.07173406490970437
admiration,excitement,0.07086134917552957,0.07086134917552957
curiosity,relief,-0.06936474202810324,0.06936474202810324
curiosity,optimism,-0.06762463980298929,0.06762463980298929
fear,joy,-0.06658444041352603,0.06658444041352603
curiosity,grief,-0.06621876165208695,0.06621876165208695
approval,surprise,-0.06621660055919946,0.06621660055919946
grief,pride,0.06505569396150088,0.06505569396150088
desire,relief,-0.06449603643761916,0.06449603643761916
curiosity,surprise,0.06448864211616323,0.06448864211616323
amusement,caring,-0.0644300812578527,0.0644300812578527
embarrassment,grief,0.06259631352880386,0.06259631352880386
confusion,grief,-0.06231581842940306,0.06231581842940306
confusion,optimism,-0.06130419278984346,0.06130419278984346
desire,realization,-0.06099046335201098,0.06099046335201098
pride,sadness,-0.06018874213571636,0.06018874213571636
caring,excitement,-0.06016150561850629,0.06016150561850629
anger,neutral,-0.058952095363703064,0.058952095363703064
desire,grief,0.058712793261212703,0.058712793261212703
embarrassment,love,-0.0585940956282691,0.0585940956282691
confusion,disapproval,0.05781287422870138,0.05781287422870138
amusement,grief,-0.05779997325931999,0.05779997325931999
optimism,realization,-0.057786806229672374,0.057786806229672374
grief,relief,0.05775244813961076,0.05775244813961076
curiosity,realization,-0.05721248900285798,0.05721248900285798
joy,nervousness,-0.05684571082873811,0.05684571082873811
excitement,nervousness,0.056729046305023345,0.056729046305023345
amusement,disappointment,-0.056065378012875186,0.056065378012875186
disapproval,joy,-0.05493816436665361,0.05493816436665361
excitement,neutral,-0.054835144677547,0.054835144677547
disgust,love,-0.05476186012975112,0.05476186012975112
anger,optimism,-0.05441344815942529,0.05441344815942529
curiosity,joy,-0.054401641820612294,0.054401641820612294
disapproval,excitement,-0.05404583208402825,0.05404583208402825
sadness,surprise,-0.05378634812293786,0.05378634812293786
disapproval,optimism,-0.05350071584313869,0.05350071584313869
admiration,desire,-0.05327264816503407,0.05327264816503407
optimism,pride,0.05326967259681755,0.05326967259681755
curiosity,sadness,-0.05314861932985689,0.05314861932985689
love,remorse,-0.05294149302537117,0.05294149302537117
disgust,optimism,-0.0524992613663362,0.0524992613663362
annoyance,relief,-0.05248488820805649,0.05248488820805649
anger,caring,-0.05241410102524754,0.05241410102524754
anger,relief,-0.05211260908129056,0.05211260908129056
amusement,sadness,-0.05205201744724191,0.05205201744724191
annoyance,excitement,-0.0518221281831599,0.0518221281831599
desire,nervousness,-0.051675218282225495,0.051675218282225495
fear,grief,0.05149167934039276,0.05149167934039276
amusement,neutral,-0.05114650427251336,0.05114650427251336
confusion,relief,-0.05092286365841764,0.05092286365841764
confusion,sadness,-0.05087614819370882,0.05087614819370882
grief,love,-0.05080246566775525,0.05080246566775525
anger,joy,-0.05010508015254488,0.05010508015254488
surprise,neutral,-0.04923247345685332,0.04923247345685332
caring,love,0.048985133932094624,0.048985133932094624
curiosity,pride,-0.04889153859737551,0.04889153859737551
desire,fear,-0.048800948937599925,0.048800948937599925
confusion,joy,-0.04844920933902129,0.04844920933902129
disgust,joy,-0.048174671424248305,0.048174671424248305
embarrassment,joy,-0.04792609115351854,0.04792609115351854
anger,realization,-0.04715555358670102,0.04715555358670102
desire,love,0.04711835815231607,0.04711835815231607
approval,love,-0.04660935932750702,0.04660935932750702
amusement,approval,-0.04586405687331793,0.04586405687331793
embarrassment,optimism,-0.045800887919796224,0.045800887919796224
approval,optimism,0.045120472563425336,0.045120472563425336
grief,joy,-0.044968339900376936,0.044968339900376936
optimism,surprise,-0.04486989464845189,0.04486989464845189
admiration,love,0.04448226700157016,0.04448226700157016
excitement,grief,-0.0439145236743674,0.0439145236743674
nervousness,sadness,0.04349608145247971,0.04349608145247971
confusion,fear,0.043437749959027605,0.043437749959027605
curiosity,disappointment,-0.04320029624725917,0.04320029624725917
gratitude,remorse,-0.04260786260119689,0.04260786260119689
curiosity,love,-0.042402012342499164,0.042402012342499164
confusion,love,-0.04218223075559543,0.04218223075559543
excitement,remorse,-0.04209010228547004,0.04209010228547004
confusion,desire,-0.04193892638756013,0.04193892638756013
disapproval,relief,-0.04175717221558136,0.04175717221558136
gratitude,surprise,-0.04148387813477632,0.04148387813477632
disapproval,love,-0.04141818671730065,0.04141818671730065
disappointment,fear,-0.04117814545891467,0.04117814545891467
caring,disapproval,-0.0405844255071452,0.0405844255071452
fear,relief,-0.04013510873947953,0.04013510873947953
approval,desire,-0.04008073709866878,0.04008073709866878
embarrassment,sadness,0.04007270982963941,0.04007270982963941
disgust,relief,-0.03970548361790201,0.03970548361790201
joy,love,0.03968267551581608,0.03968267551581608
admiration,approval,0.03956207683260749,0.03956207683260749
amusement,gratitude,-0.03914187115390364,0.03914187115390364
pride,remorse,0.0384513618365858,0.0384513618365858
amusement,relief,-0.038208740512340106,0.038208740512340106
love,surprise,-0.037407861331365394,0.037407861331365394
confusion,realization,0.0372136650128399,0.0372136650128399
confusion,disappointment,0.036358087637464336,0.036358087637464336
relief,remorse,0.03635058654128381,0.03635058654128381
annoyance,confusion,0.035844375096771394,0.035844375096771394
anger,embarrassment,0.03511669554804429,0.03511669554804429
fear,remorse,-0.03503232421669858,0.03503232421669858
love,pride,-0.03503215702492083,0.03503215702492083
disapproval,nervousness,-0.03497360158050371,0.03497360158050371
confusion,pride,-0.03494931528540638,0.03494931528540638
disgust,excitement,-0.034825090478232935,0.034825090478232935
caring,joy,-0.034760866082650485,0.034760866082650485
excitement,gratitude,-0.03429619498666138,0.03429619498666138
disapproval,embarrassment,0.03387145210527272,0.03387145210527272
desire,embarrassment,-0.033719560189686276,0.033719560189686276
annoyance,neutral,-0.03238261947596281,0.03238261947596281
anger,sadness,0.03153428453943283,0.03153428453943283
confusion,excitement,-0.031191847137175654,0.031191847137175654
confusion,nervousness,0.03116093436750999,0.03116093436750999
disappointment,surprise,-0.030792217849803627,0.030792217849803627
anger,love,-0.030721988079171737,0.030721988079171737
desire,disgust,-0.030368532350751418,0.030368532350751418
disappointment,pride,-0.03027647105531912,0.03027647105531912
admiration,amusement,-0.03011372909222296,0.03011372909222296
annoyance,desire,-0.029992413960103333,0.029992413960103333
realization,neutral,0.029925260812312414,0.029925260812312414
joy,remorse,-0.029891886462550803,0.029891886462550803
anger,excitement,-0.029752026771564407,0.029752026771564407
pride,surprise,0.029565683383733072,0.029565683383733072
desire,neutral,-0.029436526909281727,0.029436526909281727
desire,surprise,-0.029029095875499577,0.029029095875499577
admiration,optimism,-0.028908837451326264,0.028908837451326264
desire,disapproval,-0.028860482083208377,0.028860482083208377
disgust,sadness,0.028791488431066777,0.028791488431066777
curiosity,desire,-0.02846082395981871,0.02846082395981871
love,optimism,-0.027385671869127298,0.027385671869127298
disapproval,grief,-0.027249098791187688,0.027249098791187688
disapproval,fear,-0.02659837779550659,0.02659837779550659
amusement,optimism,-0.026566830004924945,0.026566830004924945
embarrassment,excitement,-0.02453243028553263,0.02453243028553263
fear,pride,-0.024381441751411805,0.024381441751411805
disgust,nervousness,0.023964881719613633,0.023964881719613633
desire,joy,-0.023960030782136005,0.023960030782136005
anger,pride,-0.023156130841406435,0.023156130841406435
embarrassment,surprise,0.022993754761286917,0.022993754761286917
caring,grief,-0.022652317714638208,0.022652317714638208
approval,joy,0.022582804020976576,0.022582804020976576
confusion,surprise,0.022475411912074736,0.022475411912074736
curiosity,disgust,-0.022382389497807215,0.022382389497807215
amusement,nervousness,-0.022312532422050575,0.022312532422050575
gratitude,pride,0.02227860818318154,0.02227860818318154
curiosity,disapproval,-0.022276168016729582,0.022276168016729582
gratitude,joy,-0.020810288959135514,0.020810288959135514
excitement,optimism,-0.020744022124282866,0.020744022124282866
confusion,neutral,-0.020436957276591217,0.020436957276591217
annoyance,curiosity,-0.01974357770926954,0.01974357770926954
amusement,love,-0.019517727319439807,0.019517727319439807
amusement,fear,-0.01937616695856955,0.01937616695856955
gratitude,love,-0.019295627052416255,0.019295627052416255
anger,desire,-0.01898540573900862,0.01898540573900862
disapproval,sadness,-0.018624464316413788,0.018624464316413788
amusement,desire,-0.018413442059992804,0.018413442059992804
approval,pride,0.018235958623021045,0.018235958623021045
curiosity,excitement,0.017727816009806194,0.017727816009806194
amusement,pride,-0.017596601011074183,0.017596601011074183
desire,pride,-0.017560029653714292,0.017560029653714292
disappointment,nervousness,0.017387359928795948,0.017387359928795948
caring,remorse,0.017378196898908134,0.017378196898908134
fear,sadness,-0.017135161759671107,0.017135161759671107
anger,curiosity,-0.017116680589614592,0.017116680589614592
amusement,annoyance,0.01708192668049801,0.01708192668049801
annoyance,nervousness,-0.016922218129062926,0.016922218129062926
disapproval,surprise,-0.01668422439804494,0.01668422439804494
disapproval,pride,-0.01660249307047567,0.01660249307047567
desire,disappointment,0.016460734625072387,0.016460734625072387
remorse,surprise,-0.01637522316410748,0.01637522316410748
disgust,realization,-0.01631386860782559,0.01631386860782559
grief,surprise,-0.01591526691869817,0.01591526691869817
joy,surprise,-0.015720537878541205,0.015720537878541205
amusement,remorse,-0.015375555216435133,0.015375555216435133
annoyance,realization,0.014900600136448266,0.014900600136448266
annoyance,pride,-0.014900359012201138,0.014900359012201138
disapproval,realization,0.014843255941283256,0.014843255941283256
disapproval,neutral,0.014832859796033802,0.014832859796033802
joy,optimism,-0.014757380744659555,0.014757380744659555
embarrassment,pride,0.014190581458762602,0.014190581458762602
admiration,joy,0.014141221747535565,0.014141221747535565
anger,nervousness,-0.013528839704855244,0.013528839704855244
anger,grief,0.01337492689616996,0.01337492689616996
amusement,embarrassment,0.013155300245430178,0.013155300245430178
approval,excitement,-0.012631763459821943,0.012631763459821943
optimism,remorse,0.011764440094209195,0.011764440094209195
annoyance,sadness,0.011680138403109979,0.011680138403109979
curiosity,embarrassment,0.011661746343409558,0.011661746343409558
disgust,surprise,-0.011659012891014967,0.011659012891014967
disgust,grief,0.01148603470052804,0.01148603470052804
anger,remorse,-0.010267581620942535,0.010267581620942535
gratitude,relief,-0.01002008592409026,0.01002008592409026
excitement,love,0.00967163888689501,0.00967163888689501
admiration,surprise,-0.00923031777850474,0.00923031777850474
curiosity,neutral,0.009022780277471552,0.009022780277471552
nervousness,remorse,0.008811351110498933,0.008811351110498933
anger,confusion,-0.008696956079184519,0.008696956079184519
amusement,surprise,0.008302712728972268,0.008302712728972268
amusement,anger,-0.008261253237139981,0.008261253237139981
optimism,relief,-0.00816028333669615,0.00816028333669615
amusement,excitement,0.008112893668444069,0.008112893668444069
annoyance,grief,-0.007791170829002764,0.007791170829002764
excitement,realization,-0.0077657214880355865,0.0077657214880355865
anger,fear,-0.0071742219790496544,0.0071742219790496544
curiosity,nervousness,0.006762693270918515,0.006762693270918515
anger,surprise,-0.006725749133077486,0.006725749133077486
curiosity,fear,0.006700321251926519,0.006700321251926519
nervousness,pride,0.006668749879512272,0.006668749879512272
desire,remorse,0.006536925234005965,0.006536925234005965
embarrassment,relief,-0.0065106562599878725,0.0065106562599878725
curiosity,remorse,-0.006320770496514091,0.006320770496514091
excitement,fear,-0.006280556062573186,0.006280556062573186
annoyance,surprise,-0.006099404808247125,0.006099404808247125
amusement,curiosity,-0.0060810276353292355,0.0060810276353292355
grief,realization,0.006056793421849632,0.006056793421849632
amusement,disapproval,-0.005166614987026089,0.005166614987026089
relief,surprise,0.0051515601263885,0.0051515601263885
fear,surprise,0.004860009654783322,0.004860009654783322
disapproval,remorse,-0.004825568040843181,0.004825568040843181
disgust,remorse,0.004613876056065522,0.004613876056065522
amusement,realization,-0.004307125991313756,0.004307125991313756
annoyance,remorse,-0.003940145583292863,0.003940145583292863
amusement,disgust,-0.0037067258706216465,0.0037067258706216465
fear,realization,0.0036420042897455903,0.0036420042897455903
caring,pride,-0.0035883930381309624,0.0035883930381309624
desire,excitement,-0.003332014402924932,0.003332014402924932
desire,sadness,-0.002849496877382655,0.002849496877382655
annoyance,fear,-0.0027910887778233736,0.0027910887778233736
confusion,remorse,-0.0022000412528367787,0.0022000412528367787
nervousness,surprise,-0.0020994903112964355,0.0020994903112964355
disgust,pride,-0.002033050484094185,0.002033050484094185
confusion,disgust,0.0018670787476980282,0.0018670787476980282
joy,realization,-0.0010244000221026719,0.0010244000221026719
amusement,confusion,0.001001050075395143,0.001001050075395143
caring,desire,0.0003145049018510672,0.0003145049018510672
